OTU,Sample,Abundance,Site_Collected,dates,Phylum
Proteobacteria,EM3001,0.548767417,Borehole 3,2018-10-10,Proteobacteria
Firmicutes,EM3001,0.355228908,Borehole 3,2018-10-10,Firmicutes
Bacteroidota,EM3001,0.046241004,Borehole 3,2018-10-10,Bacteroidota
Actinobacteriota,EM3001,0.029857602,Borehole 3,2018-10-10,Actinobacteriota
Patescibacteria,EM3001,0.001531159,Borehole 3,2018-10-10,Patescibacteria
Other,EM3001,0.018373909,Borehole 3,2018-10-10,Other
Proteobacteria,EM3002,0.312591831,Borehole 3,2018-11-16,Proteobacteria
Firmicutes,EM3002,0.550543638,Borehole 3,2018-11-16,Firmicutes
Bacteroidota,EM3002,0.067073171,Borehole 3,2018-11-16,Bacteroidota
Actinobacteriota,EM3002,0.01520717,Borehole 3,2018-11-16,Actinobacteriota
Patescibacteria,EM3002,0.006097561,Borehole 3,2018-11-16,Patescibacteria
Other,EM3002,0.048486629,Borehole 3,2018-11-16,Other
Proteobacteria,EM3003,0.236043487,Borehole 3,2019-06-21,Proteobacteria
Firmicutes,EM3003,0.458947509,Borehole 3,2019-06-21,Firmicutes
Bacteroidota,EM3003,0.141299273,Borehole 3,2019-06-21,Bacteroidota
Actinobacteriota,EM3003,0.030080704,Borehole 3,2019-06-21,Actinobacteriota
Patescibacteria,EM3003,0.028546655,Borehole 3,2019-06-21,Patescibacteria
Other,EM3003,0.105082372,Borehole 3,2019-06-21,Other
Proteobacteria,EM3005,0.41673948,Borehole 3,2019-07-25,Proteobacteria
Firmicutes,EM3005,0.079696482,Borehole 3,2019-07-25,Firmicutes
Bacteroidota,EM3005,0.225477121,Borehole 3,2019-07-25,Bacteroidota
Actinobacteriota,EM3005,0.063278915,Borehole 3,2019-07-25,Actinobacteriota
Patescibacteria,EM3005,0.044607956,Borehole 3,2019-07-25,Patescibacteria
Other,EM3005,0.170200046,Borehole 3,2019-07-25,Other
Proteobacteria,EM3006,0.294470527,Borehole 3,2020-06-24,Proteobacteria
Firmicutes,EM3006,0.381585811,Borehole 3,2020-06-24,Firmicutes
Bacteroidota,EM3006,0.172665623,Borehole 3,2020-06-24,Bacteroidota
Actinobacteriota,EM3006,0.011476265,Borehole 3,2020-06-24,Actinobacteriota
Patescibacteria,EM3006,0.014606155,Borehole 3,2020-06-24,Patescibacteria
Other,EM3006,0.125195618,Borehole 3,2020-06-24,Other
